generation,i,fitness,hash,mom_hash,dad_hash,values
0,0,696,5988471359957280014,0,0,0  1  1  0  0  1  1  1  1  1  1  0  0  1  1  1  0  1  0  1  1  1  1  1  0  0  1  1  0  1  0  0  0  0  1  1  0  1  0  0  1  1  0  0  0  1  0  1  0  1  1  0  1  0  1  1  0  1  0  0  0  1  1  0  1  1  1  1  1  1  1  0  1  1  0  1
0,1,692,-8522291556361934086,0,0,0  1  1  0  1  1  0  0  1  1  1  1  1  1  0  1  0  1  1  0  0  0  1  0  1  1  0  0  1  1  1  0  1  1  1  0  0  0  0  1  0  0  1  1  1  1  0  1  1  1  0  0  0  1  1  1  0  0  1  1  1  1  1  1  1  1  0  1  0  1  0  0  1  0  1  1
0,2,672,9138387320061111275,0,0,1  0  1  0  1  1  1  0  0  1  1  1  1  0  0  1  1  1  1  0  1  0  1  0  1  1  1  0  1  0  1  0  1  1  1  1  1  1  0  1  0  0  1  0  1  1  1  0  0  1  0  0  0  1  1  0  1  0  1  0  1  1  0  1  1  1  1  1  0  1  1  1  0  0  0  1
0,3,672,-7572411655921761207,0,0,1  1  1  1  1  0  1  1  1  1  0  1  1  1  0  0  1  1  1  1  1  0  1  0  1  1  0  0  1  1  0  1  0  1  1  1  0  1  0  0  1  1  1  1  1  0  1  1  1  1  1  0  1  1  0  1  1  1  1  0  1  0  0  0  0  1  0  1  1  1  1  1  1  1  0  0
0,4,664,-5543225452797246104,0,0,1  1  1  0  0  1  1  1  1  0  0  0  1  0  1  0  1  1  1  1  1  0  1  1  0  1  1  1  0  1  1  0  1  1  0  1  1  1  1  0  1  0  1  1  0  0  1  0  0  1  1  1  1  0  1  0  1  0  1  1  1  0  1  0  1  0  0  1  1  1  1  0  1  0  1  1
0,5,662,-9167603939220587670,0,0,0  1  1  0  0  1  1  1  0  1  0  1  1  1  0  0  0  1  1  1  1  1  0  0  1  0  1  1  1  1  0  1  1  0  0  0  1  0  1  1  1  1  1  0  0  1  0  1  0  0  0  1  1  1  1  1  1  0  0  1  1  1  1  0  1  0  1  1  1  1  1  0  0  0  1  1
0,6,661,-520862080459658841,0,0,0  0  0  1  1  1  1  0  0  0  1  1  0  1  0  1  1  1  0  0  1  0  1  1  1  1  1  0  0  0  0  1  1  1  1  1  1  0  1  1  1  1  1  1  1  0  1  1  0  0  1  0  0  1  1  1  0  1  1  1  1  0  1  0  0  1  0  1  0  0  1  1  0  1  1  1
0,7,658,-5600136764133085016,0,0,1  1  1  1  1  1  0  0  0  0  1  1  0  1  1  1  1  1  1  1  1  1  1  0  0  1  0  0  1  0  1  0  1  0  1  1  1  1  0  1  0  1  1  0  0  1  0  1  0  1  1  1  1  0  0  0  1  0  1  1  1  0  1  1  1  0  0  1  0  1  1  1  1  0  0  1
0,8,652,-5779457230674333174,0,0,0  0  1  1  0  0  1  1  1  1  1  1  1  0  0  1  1  1  0  0  1  1  1  1  1  1  1  0  1  0  1  1  1  1  1  1  1  0  0  1  1  1  1  0  1  0  0  1  0  0  1  0  1  0  0  1  0  1  1  0  1  1  1  1  0  0  1  0  1  1  1  1  0  0  1  1
0,9,649,-1808459766025328446,0,0,0  0  0  0  0  1  1  0  0  1  1  0  1  1  0  1  0  1  1  0  1  0  1  1  0  0  1  1  1  1  0  1  1  1  1  0  1  1  0  1  1  0  0  0  0  1  0  1  1  1  0  0  0  0  0  1  1  1  0  1  0  1  1  1  0  0  0  0  0  0  1  1  1  1  0  1
0,10,633,7047753142156189029,0,0,1  1  0  0  1  1  0  0  0  1  1  1  1  1  1  1  1  1  1  1  0  1  0  0  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0  1  1  1  1  0  1  1  1  0  1  1  0  1  0  0  1  1  0  0  1  1  0  1  0  0  1  1  1  0  1  1  1  0  0  1  1  1
0,11,627,4068854643907954215,0,0,0  1  1  1  0  1  0  1  0  1  1  1  0  1  1  0  0  0  0  1  1  1  1  1  0  1  0  0  1  1  0  0  1  1  1  1  1  1  1  0  1  0  0  1  1  1  0  1  1  1  0  1  1  1  0  1  1  0  0  0  1  0  0  0  1  1  1  1  0  0  1  1  1  1  1  0
0,12,621,-8369582149938951425,0,0,0  0  1  1  0  1  0  0  0  1  1  0  1  1  0  1  1  1  1  0  1  1  1  1  1  0  0  0  0  1  1  1  0  0  1  0  1  1  0  0  1  1  1  0  1  0  1  0  1  1  0  0  0  1  1  0  0  1  0  0  0  1  1  1  0  1  0  0  0  1  0  0  1  1  0  1
0,13,618,8511859986506314056,0,0,0  0  0  0  1  0  1  1  1  1  1  1  1  1  1  1  0  1  1  0  0  1  0  0  0  0  0  1  0  1  1  0  1  1  0  1  0  1  1  1  1  0  0  1  1  0  0  0  0  1  0  1  1  0  1  1  0  0  0  1  0  0  1  1  1  0  0  0  1  1  1  1  0  1  1  1
0,14,611,-47804046797059781,0,0,1  1  0  1  1  0  0  1  0  1  0  1  0  0  0  0  0  1  1  1  1  0  1  1  0  0  0  1  0  1  1  1  1  1  1  0  1  0  1  1  1  1  0  1  1  0  0  1  1  1  1  1  1  1  1  1  1  1  0  1  1  0  0  0  0  1  1  0  1  0  0  1  0  1  0  1
0,15,610,5872708489820123504,0,0,0  1  1  1  0  1  1  0  0  1  1  0  1  1  0  1  0  1  1  0  1  1  0  1  0  1  0  0  1  0  1  1  1  1  1  0  1  0  1  0  1  0  1  0  0  1  0  1  1  0  1  1  1  1  0  0  0  1  0  1  1  1  1  1  0  1  0  0  0  1  0  0  1  1  1  0
0,16,609,-1154870421058800761,0,0,1  1  1  1  1  0  1  0  1  1  1  0  1  0  1  1  0  1  0  1  1  0  1  1  0  0  1  1  0  0  1  1  0  1  1  1  1  0  1  1  0  1  0  0  1  1  1  0  1  1  0  1  0  1  0  0  1  1  0  1  1  0  1  1  0  0  1  0  0  1  0  0  0  0  0  0
0,17,609,7631531113158605923,0,0,1  0  0  1  1  0  1  1  0  1  1  1  1  0  0  0  1  0  1  1  1  1  1  1  1  0  1  1  1  0  1  0  1  1  0  1  0  1  0  1  0  1  1  0  1  1  1  0  1  1  1  1  1  1  1  0  1  0  1  0  1  1  1  0  1  0  1  0  0  1  0  0  0  0  1  1
0,18,603,7925527329638247919,0,0,1  0  1  1  1  0  1  1  1  1  0  1  1  1  0  1  1  1  1  0  1  1  1  0  1  0  1  1  0  0  0  0  1  0  1  0  0  1  0  1  0  0  1  1  0  0  1  1  0  0  0  1  0  1  1  1  1  1  1  0  1  0  1  0  0  1  0  1  0  0  1  0  0  0  0  1
0,19,602,1538969817804056023,0,0,0  0  1  0  0  1  0  1  0  0  1  0  0  1  1  0  1  0  0  0  1  0  1  1  1  0  1  1  0  0  0  0  1  1  1  0  1  1  0  0  1  1  1  0  1  1  0  1  0  1  1  0  0  0  1  0  1  1  1  1  0  1  1  1  1  0  0  1  0  1  1  0  1  0  0  0
0,20,602,-1782078967898833211,0,0,0  0  1  1  0  1  0  1  1  1  0  1  0  0  1  1  0  1  1  0  1  1  0  1  1  0  0  0  1  0  0  0  1  0  1  1  1  0  0  1  1  0  1  0  1  1  1  1  0  1  1  1  0  0  1  0  0  1  0  1  0  0  0  1  1  1  0  1  1  1  1  1  0  0  0  1
0,21,596,1343339154856996824,0,0,0  1  0  0  0  0  0  1  1  1  1  1  1  1  0  0  0  0  1  0  0  1  1  0  0  0  1  1  1  0  0  1  1  0  1  1  0  1  0  1  0  0  0  1  1  1  1  1  0  0  1  1  0  1  0  1  0  0  0  1  0  0  1  1  1  1  1  1  1  1  1  0  1  1  0  1
