generation,i,fitness,hash,mom_hash,dad_hash,values
0,0,[-8.313793180265774, -1.346292201201384],2900854864273610396,0,0,-0.9120840547830369  -0.14377013956121765
0,1,[-3.708381012943094, 3.0652404922021423],-2895985547506504078,0,0,4.0431342121953495  2.873004469158433
0,2,[-7.929101279957937, 5.108751573777212],-1475524454689892286,0,0,1.1559088280055967  -0.1000070988045687
0,3,[-7.685908685862119, 5.856607830312157],-8726203811299959028,0,0,-0.044937644491479745  1.315214927296279
0,4,[-7.626321732792672, -3.5420253126062073],-2234441876594514510,0,0,-0.9659797437040449  -0.9500682106946581
0,5,[-7.460123830238875, 8.419075792684602],7973026486103239951,0,0,1.062370278771282  1.0088538112608783
0,6,[-7.410108224698282, 7.075475956256517],7807821417968134341,0,0,1.4351938864912785  0.43164907749314274
0,7,[-7.3235476246465305, 6.8881384323214165],-1159913981054295652,0,0,1.5295604539556686  0.2934262573601254
0,8,[-6.7432148655915425, -6.882337870956418],-4881540592044526744,0,0,-1.3361251932517204  -1.4479713436185007
0,9,[-4.669108966085902, 2.2902774113365094],3091432174642765917,0,0,-3.036142448978164  -2.298552646434353
0,10,[-5.825793232950026, 5.7028074290165165],-2703849060937727295,0,0,-2.435448115217614  1.168940788725502
0,11,[-5.0600482992609175, 8.554010089994785],5097513143704512565,0,0,1.3949458462956859  -3.1072931664878
0,12,[-4.514755197402474, 5.94388993923608],-5722331267085709154,0,0,-3.9462534639818623  0.48684343902439764
0,13,[-4.231089968211634, -2.9289808180232533],2390493194439154756,0,0,-1.3426492498927542  4.08566861782406
0,14,[-4.004922577334428, -2.1063909503375537],359754609538495016,0,0,-1.9555760107939957  4.136318553858738
0,15,[-5.0603483559331845, -0.5094962888096548],-6380722868641580883,0,0,-1.8748830011884063  -2.8432268392764284
0,16,[-6.00415207189651, 0.33436011895191864],7607617654552017928,0,0,-2.4608721753994223  -0.6708366325959023
0,17,[-3.2588472113928417, 1.1701519386670296],-3722934551621886158,0,0,4.531397226455461  3.300655108643241
0,18,[-3.2922485367069383, 2.074750796894794],-6813193258920257471,0,0,4.9492664584692605  2.5226140754718163
0,19,[-5.0408449919954466, 4.41640237355139],5128003853598249367,0,0,-3.3663654070014584  0.6313464165320868
