generation,i,fitness,hash,mom_hash,dad_hash,values
0,0,15.833451735683017,5028177726420255548,0,0,-0.5508118865054588  0.6698420148186459
0,1,16.058577678317654,-5309892764829225595,0,0,-1.269985948018601  1.2826258871093144
0,2,25.626894250277083,-811778137414744781,0,0,0.378299127230469  -0.3592878423380883
0,3,31.420718140529857,-8838907830298586872,0,0,-1.7661644117707427  3.60687188288248
0,4,69.95599515150275,-540964437285833066,0,0,-2.253327177861629  4.306952012105981
0,5,99.55218322155864,6915957114640645398,0,0,-2.9217864053598506  9.454287566282193
0,6,117.72181026633334,-4486758252941128321,0,0,0.8754969909462078  -0.31843040460607774
0,7,175.90350785425457,-2440431942226056059,0,0,1.462469918796371  3.464297910261058
0,8,184.6287989455224,8852982638520722567,0,0,-1.8276909804688874  2.0114209771478118
0,9,190.09494288582263,-6824681191079203458,0,0,-0.0690357452136574  1.379364440813899
0,10,204.38877970295425,7227200498940818704,0,0,2.0048678199254724  2.593384810036838
0,11,253.67769243878874,7113389469274939839,0,0,-0.6516610269209462  -1.1594771305901608
0,12,309.8427421488005,4765909550940460228,0,0,0.7636168557954335  -1.1769656173617582
0,13,388.70346431404136,992045484196327237,0,0,-0.3098259345882779  -1.871208490945513
0,14,407.7272517679657,-3363061689643875482,0,0,0.6305042265356429  -1.6213520463201112
0,15,418.9328837072939,3830039402904614487,0,0,2.7784353687779815  9.758747117977668
0,16,428.35383999308425,6787791629909255204,0,0,2.60277678711088  8.837902713161276
0,17,482.2506718951634,2872505186992924640,0,0,-0.7715936850821628  -1.593506195268139
0,18,491.45893096818634,-8602105400135634339,0,0,1.560798095792176  0.21991282285902702
0,19,497.2397126504114,-7310185188980193637,0,0,-0.28152576270760044  -2.146944952706669
0,20,505.18565961899066,-2929108608148262604,0,0,-2.458185301450777  8.263545557909596
0,21,596.1853683952818,-3216247591849134977,0,0,-1.0875044762082684  -1.2500849128129659
0,22,625.7715379357724,-2496990985089895886,0,0,1.7430217282846519  0.5376858705004892
0,23,629.9288748941456,2897698035810846354,0,0,-1.5366646113664229  -0.1356484711441004
0,24,809.9010218331903,8241474863849827102,0,0,-1.2944655012953405  4.512252380640874
0,25,882.8118243901811,8320153715122509545,0,0,0.9544407922945624  -2.06025422516134
0,26,994.5478360732858,7526595171022570811,0,0,-0.5947440155284607  3.5033309399225985
0,27,1224.9872359851136,6551446465083363474,0,0,-1.417653104732497  5.501361996516078
0,28,1244.7997473023552,4613574717684183237,0,0,-0.7477918983899565  -2.9646474699890346
0,29,1274.9310532222796,4992106578765331032,0,0,1.408401862090142  5.553979903721821
0,30,1437.5062689527308,-5863066832167972286,0,0,-2.1748121909386104  8.507938339555404
0,31,1580.1911910851625,295115663470573506,0,0,2.7554358299738695  3.621142644244337
0,32,1624.4446743132103,-2314635045240741274,0,0,2.0536592558927858  8.246578856185351
0,33,1654.5306971904515,-6730989249406979313,0,0,-2.8702232951798297  4.189043499282883
0,34,1750.6260434637547,-6949592270392819228,0,0,-3.6203305219581434  8.948333530486892
0,35,1876.0247199862881,8026222076244204470,0,0,0.7737221773864889  -3.7326049874101317
0,36,1999.8302441701653,-4938624720683609860,0,0,-0.8939912768263873  -3.6687131698905278
0,37,2029.434709454192,-8243301210313588380,0,0,0.8857641763553996  -3.7203321000516465
0,38,2130.3899951677145,-921885489067632451,0,0,-1.4847568495282553  6.8134246617722525
0,39,2145.4924245810193,7095690682175589127,0,0,0.574906554963758  4.9622685334938765
0,40,2157.7110735876067,-7717956706798684339,0,0,0.3818199598804757  4.790491991292882
0,41,2194.786602816427,-2879247276167573195,0,0,-1.2006148802744088  6.121159730647413
0,42,2264.0278991459863,-801582745744454862,0,0,0.07183248368293516  -4.752114948873957
0,43,2351.2348366723554,-7702396401804941591,0,0,2.2966631124298758  0.42744214455267215
0,44,2382.9786773145597,2744730025217863421,0,0,-0.744235827483763  -4.324572132736374
0,45,2390.6427396238564,3888722096194343639,0,0,0.8307776566455622  5.579582175612723
0,46,2403.691586598079,-1765186515452547533,0,0,-0.16383174818279755  -4.874523338043858
0,47,2764.117801243954,1661897857992791627,0,0,1.9255483773335662  8.964409609145207
0,48,2769.026932747168,5903820038442558233,0,0,-3.024702364085863  3.902083780577229
0,49,2798.111424554963,1450416821740617787,0,0,1.0658971542193063  -4.153576937082894
0,50,2931.3841684301133,-5106191057941356816,0,0,3.147740375101707  4.498305162590842
0,51,2980.6290033147525,7649765813202043653,0,0,0.9196311717437142  -4.613786310100437
0,52,3270.1961325322854,6637419224680463523,0,0,-0.893124355672116  -4.91775731430886
0,53,3908.2249911816975,-2194081081653893326,0,0,2.6233955647744187  0.6327326491936525
0,54,4328.354773434066,-3194986041814102138,0,0,-4.043132536902936  9.78725487522939
0,55,4565.944460104364,-6590668989822921388,0,0,1.9826472094951688  -2.8255727744409134
0,56,4812.47281781661,-155254021021262511,0,0,-0.02797653857236071  6.937219871643945
0,57,4864.102365362119,4859538910184039840,0,0,2.7485956305565127  0.582658622142211
0,58,4968.068599638322,-8663435783242222638,0,0,-3.750394694691273  7.033033793381307
0,59,5408.126707191304,7578698010882133080,0,0,3.3624611697617883  3.955944111099834
0,60,5502.445967280381,6154153297185580148,0,0,3.6135270515047164  5.644335921534651
0,61,5949.619818287551,-956527970373906228,0,0,-0.6895400582343028  8.186992754831925
0,62,7021.575244512704,-1146202554804171355,0,0,-0.5900168466134668  8.726095225957197
0,63,7168.454942559462,-1748064912174634828,0,0,-1.1454905712579162  9.776102696901367
0,64,7461.940180247416,8966391418201231449,0,0,-2.600093771226595  -1.8702594545678721
0,65,8314.229801329337,-8842768067204266854,0,0,-0.9295629087662949  9.980285196302635
0,66,8353.099445987988,-3375614011687783881,0,0,-4.128508649907063  7.919454717095597
0,67,8389.935510452888,8429828193633537531,0,0,-3.461474598983336  2.8330191820454607
0,68,9138.324757714501,1543704442812035211,0,0,2.9845761218181206  -0.6497036672383185
0,69,9404.517130007787,5595186165353076363,0,0,2.534674150139332  -3.27190152085967
0,70,9616.693173118396,3578139298483980093,0,0,-3.585493356711458  3.060015358364879
0,71,9983.298607769417,-1751000687608294205,0,0,-0.0011177797022625668  9.991145513708995
0,72,10932.980788279037,-6004642487950811095,0,0,-2.7043822151674073  -3.13584234537188
0,73,13007.273491845492,5705402230126252952,0,0,4.486761908298869  8.731420155004416
0,74,13031.026495207936,-1192980946286099532,0,0,2.9244375667298543  -2.8613948236630145
0,75,13855.683274101908,1120675467487899730,0,0,-3.8437847413198103  3.01363483062773
0,76,14815.803570532971,8100003829874747285,0,0,3.898208996608128  3.0274656943043876
