generation,population_length,worst_fit,best_fit,median_fit,average_fit,std_fit,best_fit_candidate_hash,best_fit_candidate_i
0,150,737137.0229117733,15.833451735683017,13443.354884654922,106285.43338738127,187144.71148544585,-0.5508118865054588  0.6698420148186459,0
1,150,710195.591649304,0.07676130295885658,3661.2171990171687,26590.927113056958,74501.2925424148,0.7737221773864889  0.582658622142211,0
2,150,101221.80079666966,0.2546411770005334,2032.1746855384754,6278.585759201318,14023.05347852879,0.9196311717437142  0.795903620907426,0
3,150,21857.70910645193,0.2442161006908069,1520.8158578806879,2670.7518877582775,3334.8878947540693,1.408401862090142  2.0114209771478118,0
4,150,11930.480948981953,0.2442161006908069,1257.903199901446,2310.9008674369325,2662.039015406587,1.408401862090142  2.0114209771478118,1
5,150,9698.684370057936,0.025876393379386835,395.21033573447005,1630.561320216663,2101.5673386746817,0.8857641763553996  0.795903620907426,0
6,150,7843.191623100576,0.2442161006908069,288.60529323998196,967.9844661126065,1572.1800526607442,1.408401862090142  2.0114209771478118,0
7,150,6069.459648323887,0.10198780846716224,199.64451306031663,529.1766570049814,900.063856106176,0.8754969909462078  0.795903620907426,2
8,150,2345.766721091998,0.10198780846716224,102.92758677777101,263.95194982975175,374.40285870707936,0.8754969909462078  0.795903620907426,0
9,150,1217.3480773674842,0.2546411770005334,93.97779101327555,164.1806760602098,210.81690112201045,0.9196311717437142  0.795903620907426,4
10,150,904.9934932168019,0.10198780846716224,37.326423205944515,82.97531759308565,123.94124608456045,0.8754969909462078  0.795903620907426,0
11,150,413.0246184852232,0.10198780846716224,28.483938825875537,67.41028734015488,95.19741190012559,0.8754969909462078  0.795903620907426,0
12,150,199.64451306031663,0.10198780846716224,3.9422582466918916,22.57695279857932,40.690513362497285,0.8754969909462078  0.795903620907426,0
13,150,199.64451306031663,0.10198780846716224,3.099818199416537,12.557434435971823,28.62427440636159,0.8754969909462078  0.795903620907426,1
14,150,199.64451306031663,0.10198780846716224,3.099818199416537,4.7631259343725,17.112614686433712,0.8754969909462078  0.795903620907426,2
15,150,8.739303504737583,0.2546411770005334,0.9496805894417943,1.853143008297969,1.6567011577244575,0.9196311717437142  0.795903620907426,52
16,150,3.9422582466918916,0.10198780846716224,0.2546411770005334,1.5633480328633922,1.542152901885756,0.8754969909462078  0.795903620907426,2
