generation,i,fitness,hash,mom_hash,dad_hash,values
0,0,50.07494719286797,-6467647994881481755,0,0,435.28306441407403  434.8875041195804
0,1,143.64788629707527,-1932282828947331559,0,0,434.3082400861722  -297.7798295373716
0,2,159.58253430888135,-6091899955683266513,0,0,405.2954203113138  -293.2747412446921
0,3,273.92818733441777,3851174429312592222,0,0,408.9260896300385  221.40231109931642
0,4,277.4611666802491,-5383651827666694537,0,0,-315.5169963796769  -314.89868891463846
0,5,280.8694688060384,-3666355895200903872,0,0,-286.4264684924169  -312.28764232073934
0,6,289.2433405263581,7011620194077043834,0,0,422.88103870254497  179.04113464160594
0,7,313.5205145182474,3590482344948124682,0,0,394.6495089654742  213.88998825006786
0,8,323.43605017335335,-5197496923583932171,0,0,427.04671566629725  -111.23189166188632
0,9,386.75423628330225,5548410009969845411,0,0,362.59367759275915  403.63580582654106
0,10,403.8763049174148,4253890303484447376,0,0,376.7866163799051  460.50677550708144
0,11,407.18617870943604,-8837703155607682375,0,0,-278.186207622002  -331.1173284483658
0,12,416.8224256926459,-7543093475623580795,0,0,57.33315359208575  400.18063674065513
0,13,445.0376449000514,-6988468635772942231,0,0,-269.0917060780558  -328.08021905856924
0,14,451.2003944279924,556734075334721025,0,0,409.436050487784  33.64353512068476
0,15,455.7824956410794,-6232787903526376410,0,0,396.1847203040005  -487.013332460946
0,16,458.38800014312227,-5460301059352769347,0,0,-283.5995160993532  -125.64041063783839
0,17,490.7632447586324,392820922008840697,0,0,76.56448454337362  -299.48606618475674
0,18,498.6538939605819,3653109810154446463,0,0,406.5630657681286  -56.772502086583586
0,19,522.8604017576624,-6562502288621696392,0,0,-294.2968861090677  243.7732745780321
0,20,523.0329677281718,-2893536459970552243,0,0,395.7002443322066  94.34958844554251
0,21,531.8165246483476,765936391539923097,0,0,-136.17536967570908  207.87579527451032
0,22,537.9979850772124,-3083517015417300518,0,0,451.9332117562809  11.17224603323399
0,23,542.5471513413402,7723998879753236068,0,0,210.89005066747598  -111.152622410849
0,24,542.8055420838366,1030349283074076316,0,0,-298.80599233095705  -4.001420690824773
0,25,546.4445530033893,-3265494661008035965,0,0,33.86838586424631  451.3105978007385
0,26,561.3369215333755,8620282684113577435,0,0,389.19177076843255  23.02046309115849
0,27,578.8367016332616,2101735392717510508,0,0,426.49548613520983  -184.29788414703575
0,28,586.3430639558923,2082139047545922434,0,0,368.6583436975138  368.4618550295148
0,29,597.941756193464,6102401193390258608,0,0,399.0391794804549  120.30300115856255
0,30,600.446302695158,2598338280466762523,0,0,-372.50708863459295  408.57549252709714
0,31,600.5277577135166,9216840224277072564,0,0,458.70906604826723  -482.56242595833254
0,32,607.632897831845,6495654023355887764,0,0,226.69701667664071  -109.0679190569951
0,33,615.2628858952256,-6260474703736111896,0,0,-140.1626403695372  228.13908671885383
0,34,623.8263190859982,6925459835091205610,0,0,164.89155626587421  187.52836530624427
0,35,624.6224628411005,6209568211478789632,0,0,-227.31242257509956  396.6825691186083
0,36,627.6121991415779,1413431531964662628,0,0,369.98767343825386  237.25378561702075
0,37,634.164359349249,-6331915541558798367,0,0,42.387244583900724  -272.32127601465794
0,38,637.8416866759093,7734878839584095024,0,0,-293.08215110362124  -171.93015868126605
0,39,638.202387122145,8218098273459188770,0,0,-312.61453532134146  -475.46602534364433
0,40,640.9203814897395,4884163894781532937,0,0,-105.81183934044134  -342.30690357652736
0,41,646.7614958520328,-7499553764178217591,0,0,-270.8206180568326  41.590361206347666
0,42,650.0055074421621,-4915961727464057758,0,0,-309.34832917545896  113.41109243535993
0,43,652.3571856455554,6678790557840867411,0,0,353.48455896170105  377.0267939136028
0,44,654.7422861522634,-7152648066865695735,0,0,-4.61139279635114  375.2549884597852
0,45,661.6023254361517,4386777976258223051,0,0,-487.1938137466498  180.3014682917203
0,46,662.1751068909243,3063391560622940623,0,0,-138.8749187066917  -490.65238952937193
0,47,665.4753105879248,3872989442341860025,0,0,212.63412223370506  20.017946119889757
0,48,665.5135582125924,4178185975230163562,0,0,195.06361821594123  31.371996566082316
0,49,668.9802485943289,-1928468091675904507,0,0,217.62761152774294  -482.81272989024217
0,50,670.1188846003439,-7782286997202112981,0,0,215.24892576306354  32.747398989590806
0,51,675.321247771144,2869111855157749757,0,0,378.73993039412403  -73.71384797003043
0,52,676.3854532526567,942435347249246084,0,0,-129.91756284917278  52.14535823718904
0,53,679.5999618074588,-8122586602249548451,0,0,129.83978957338854  455.14317029015774
0,54,682.7349710330908,-8992262978691289349,0,0,-262.8130091948606  47.86852107875859
0,55,685.4388530961703,-1568870473121934190,0,0,-284.103048760011  -231.9851115913247
0,56,692.9304396139783,-8933522016242191203,0,0,395.7495266857321  -209.95173878829542
0,57,700.3858051430066,8094707568573169798,0,0,-264.020487464928  1.7258384682708083
0,58,710.5880013919922,-1139696915989805017,0,0,-104.38461767884735  56.38990973139903
0,59,728.8132673959342,3403111496289040671,0,0,-32.19523324841458  -108.48139479905564
0,60,731.5842435116074,-8943893179295882653,0,0,89.458555466397  231.52467286221872
0,61,736.3676808498097,3785174716944542972,0,0,227.64433991292333  -162.71775018574942
0,62,749.5021906171306,-7407442939408679683,0,0,85.44448188635283  236.9917973579661
0,63,750.2476159595876,187724514729275053,0,0,-76.01182412597251  369.7644583114279
0,64,751.7052084219068,2096571836858440554,0,0,-266.917025731128  490.01900824565644
0,65,753.0783874635467,7898129221969479070,0,0,26.51766824562162  -114.2485395312749
0,66,753.2638446392752,-7508189406210925646,0,0,201.06417619275533  342.37371078201807
