generation,i,fitness,hash,mom_hash,dad_hash,values
0,0,2.834088903471184,5832991687197865716,0,0,0.010402810803462614  1.0511019617383255
0,1,4.631514760851829,-5127189586697737209,0,0,-1.0273922884520843  -0.6633321082751706
0,2,7.930142281684217,-2764825899914352656,0,0,2.9305162399347324  -0.2459853530258016
0,3,10.035517834849573,-8337587349715833998,0,0,-3.775277846088919  -2.026701941318912
0,4,10.457581161044025,4780615030358259106,0,0,-0.9915830446209455  -4.277435203543611
0,5,13.465555955793167,3378742495935329967,0,0,2.9747648598736802  -5.601622813213666
0,6,13.577682260429228,-8985932307558278460,0,0,-6.7800624095046516  1.9492713830974182
0,7,13.760113310025442,6059160403399226133,0,0,-0.03414335515903133  -6.506367959484599
0,8,13.967673728660143,7971247765504471240,0,0,-4.003118949703143  -7.106542522785006
0,9,14.266209330742011,4377396490727535678,0,0,-6.557444362982196  -1.839831199710531
0,10,14.394958524600147,2348406771577531453,0,0,7.14325925193522  0.3382286305271265
0,11,15.13472850196159,-7075715292371393029,0,0,-0.3873556189501457  7.932117191464123
0,12,15.99113097811476,1642929598254503085,0,0,-0.525690121944038  -8.286025277073094
0,13,16.21129186988478,9206858971017448523,0,0,5.11751566633297  -8.817233686068889
0,14,16.468211976049965,-146527093189887939,0,0,8.222695265750517  -4.322570693929677
0,15,16.487317189393206,2367203292581212754,0,0,-8.640840509585274  -1.4853654666407152
0,16,16.488448525818598,-9112039836788700053,0,0,-9.951286695660684  3.237232305969961
0,17,16.693651468419258,5853837009542984778,0,0,-2.814224696871385  10.981433141145203
0,18,16.905168618972958,8785223805204116312,0,0,10.938694156741853  3.8128836411262057
0,19,17.154572461250293,2410481419599789127,0,0,8.60850285020988  -4.3877701307975485
0,20,17.269757166227844,3114851261982089111,0,0,8.290622937250504  -5.4696790537845175
0,21,17.380797913902047,5628826702775707668,0,0,-1.25605360893028  10.33909311765705
0,22,17.556067237583708,1025844432672279596,0,0,12.831528613267267  2.9496248388181954
0,23,17.886336495650465,7400406120818565333,0,0,-4.530192741918903  10.20320068182675
0,24,18.061784888294635,4750377355666667062,0,0,10.455403047574528  -5.9974216739962
0,25,18.151561115955147,-4943209615687530993,0,0,-9.702059684929218  7.218849032821922
0,26,18.248505292508042,-6087874237688280018,0,0,1.8343883190909693  15.018407947073769
0,27,18.301749944460138,-1322121106842073476,0,0,5.825853811777478  -10.532819432603368
0,28,18.34376334108764,3420614426133459944,0,0,10.192520983268416  10.111463573299389
0,29,18.720782756778345,-7423019593744571623,0,0,-17.971288866491612  -4.927874258067767
0,30,18.735600851293857,-4670157718625314912,0,0,16.99263800427508  6.1090673200230015
0,31,18.776640864225442,3575862728835074806,0,0,-11.409777329959546  -6.204621159251204
0,32,18.813847189759105,377743909931734709,0,0,14.013882240846314  13.968066207220268
0,33,19.008603615289662,-8773055569385444752,0,0,-12.339296535448518  -4.677772866297559
0,34,19.096527521261912,-3333668973581646843,0,0,-6.56970542815737  -12.17623859882756
0,35,19.34398625701327,8052540210587077480,0,0,-13.526120922098926  3.7587837858301256
0,36,19.59385405417165,-2824168011765673913,0,0,-12.000140853568972  -10.456746070386174
0,37,19.610251603355703,7639893672375061423,0,0,8.882143033073675  -19.117546022496732
0,38,19.63065390848985,-7316420948472304724,0,0,6.095061413083428  -18.200355374050808
0,39,19.82728909670435,-4950031498085101296,0,0,-5.942413377140298  23.875267131277596
0,40,19.830567357975564,338920596204045794,0,0,11.546229979502286  11.154116157637247
0,41,19.84673854371984,-7397466760982841320,0,0,19.898939811722983  18.98832911426328
0,42,19.861600183385917,1009161726508571887,0,0,4.700285236755107  16.857891285275898
0,43,19.91696060851451,3326309300745634851,0,0,16.95771732151149  -2.571666925947369
0,44,20.018520814394932,-1553012186640806425,0,0,10.91483555458585  23.130481671914332
0,45,20.03893006111287,5146508113341974666,0,0,19.853254615323195  -0.7777006438011753
0,46,20.047856500713653,-7769119719866826568,0,0,-6.0280223676846205  22.808688544396098
0,47,20.117833286072717,-4746975868175598663,0,0,13.240068215643277  -13.816788069801639
0,48,20.13903627251865,-8133999876464886287,0,0,-13.301227570110804  -9.391143894352354
0,49,20.145730957740753,1813853339432735040,0,0,11.246177166243825  17.11648382483998
0,50,20.172233484116788,-3651895357773995530,0,0,-22.879428190514695  23.980305515171246
0,51,20.19714384640251,892643275517202041,0,0,30.101839177167705  26.983096943351867
0,52,20.197907575432524,-1025627802888085895,0,0,-29.066345847849938  28.92318271108151
0,53,20.20842054357997,-8833311431134449935,0,0,-23.878567148376426  0.8303913276599175
0,54,20.234097456133437,-8321038558011296758,0,0,8.454803217808163  -14.276240919715548
0,55,20.242886140481257,-3381160501716254626,0,0,-16.983724409395727  -22.17037300539227
0,56,20.28840023980449,-5365449573952097517,0,0,22.763792613259966  -0.9258685207528288
0,57,20.300654502239826,-1540186470547564233,0,0,12.050193310835844  27.847404145713114
0,58,20.323882091680662,7090559216984424643,0,0,6.043970744384637  -26.817004824965004
0,59,20.327176596154338,2551333487899567142,0,0,7.627497851811235  -15.298245972300244
0,60,20.339551480968485,6204841047842227633,0,0,6.243444628280862  -17.73655782279944
0,61,20.34346324797056,5940362021779123873,0,0,7.265729727185999  -15.456586049009736
0,62,20.384096677519683,2201952362586419810,0,0,27.105329363398283  -4.83757214494662
0,63,20.38438670091495,2240100078383994673,0,0,17.209248844405067  -15.142381802639129
0,64,20.42439929545819,-3098104385627197062,0,0,20.18139302893993  -13.155293671878702
0,65,20.43540042133211,-6791422486589952412,0,0,-27.035638567798067  13.182778410583332
0,66,20.440626063895614,1542531738414831192,0,0,16.279724644743844  15.962616732528026
