generation,population_length,worst_fit,best_fit,median_fit,average_fit,std_fit,best_fit_candidate_hash,best_fit_candidate_i
0,150,379,696,516.0,521.4533333333334,69.29834886601236,0  1  1  0  0  1  1  1  1  1  1  0  0  1  1  1  0  1  0  1  1  1  1  1  0  0  1  1  0  1  0  0  0  0  1  1  0  1  0  0  1  1  0  0  0  1  0  1  0  1  1  0  1  0  1  1  0  1  0  0  0  1  1  0  1  1  1  1  1  1  1  0  1  1  0  1,0
1,150,369,768,557.5,557.2133333333334,66.9304700582793,0  1  1  1  0  1  1  1  1  1  1  0  0  1  1  1  0  1  0  1  1  1  1  1  0  0  1  1  0  1  0  1  0  0  1  1  0  1  0  1  1  1  0  0  0  1  0  1  0  1  1  0  1  1  1  1  0  1  0  0  0  1  1  0  1  1  1  1  1  1  1  0  1  1  1  1,0
2,150,387,753,577.5,578.1733333333333,64.31212914805073,0  1  1  1  1  0  0  1  1  1  1  0  1  1  1  0  0  1  0  1  1  1  1  1  1  0  1  1  0  1  0  1  0  0  1  1  0  1  0  1  1  1  0  0  0  1  0  1  0  1  1  0  1  1  1  1  0  1  0  0  0  1  1  0  1  1  1  1  1  1  1  0  1  1  1  1,0
3,150,470,740,585.5,591.6,55.59712222768369,0  1  1  1  0  0  1  1  1  1  1  0  0  1  1  1  0  0  0  1  1  1  1  1  1  0  1  1  0  1  0  1  0  0  1  1  0  1  0  1  1  1  0  0  0  1  0  1  0  1  0  1  1  1  1  1  1  0  0  0  0  1  1  1  1  1  0  1  1  1  1  0  0  1  1  1,0
4,150,479,757,614.0,611.0666666666667,53.88922794853243,0  0  1  1  0  0  1  1  1  0  1  1  1  0  0  1  0  1  0  1  1  1  0  0  1  1  0  1  0  0  1  1  1  1  1  1  1  1  0  1  1  1  1  0  1  1  1  1  1  0  0  1  1  1  1  0  0  1  0  1  1  1  1  1  1  0  1  1  1  1  0  1  1  1  1  1,0
5,150,424,750,614.5,614.5266666666666,57.55017482355916,0  0  0  1  1  1  1  1  0  0  1  1  1  1  0  1  1  0  0  0  1  1  0  1  0  0  1  1  1  1  0  1  1  0  0  1  1  1  1  1  1  0  0  0  1  1  1  1  0  1  0  0  0  1  1  1  1  1  1  1  1  1  0  1  0  1  1  1  0  0  1  1  0  1  1  1,0
6,150,405,747,630.0,621.2333333333333,60.79171178887976,0  0  1  1  1  1  0  1  1  0  1  1  1  1  1  1  1  1  0  1  0  1  1  0  1  0  1  0  0  1  0  1  1  0  1  0  1  1  1  1  1  0  0  0  1  0  0  1  1  1  1  1  0  1  1  1  0  1  0  0  1  1  1  0  1  1  1  1  1  1  1  0  0  1  0  1,0
7,150,457,751,625.5,620.9866666666667,53.53142213275821,0  1  1  1  1  1  0  0  1  0  1  1  1  1  0  1  1  1  0  1  1  1  1  0  1  0  1  1  0  1  1  1  1  0  1  1  1  0  1  1  1  0  0  1  1  0  0  1  0  1  1  1  0  1  0  1  0  1  0  0  1  0  0  0  1  1  1  1  1  1  1  1  1  1  0  1,0
8,150,489,761,622.0,617.4333333333333,53.51092308014214,0  1  1  0  1  1  1  1  1  0  1  1  1  1  0  1  1  1  0  1  1  1  1  0  1  0  1  1  0  0  1  1  1  0  1  1  1  1  1  1  1  0  1  1  1  0  0  1  0  1  0  1  0  1  0  1  0  1  0  1  1  0  0  0  1  1  1  1  1  1  0  0  1  1  0  1,0
9,150,459,809,621.0,622.2866666666666,55.277884265670735,0  1  1  1  1  1  1  1  1  0  1  1  1  0  0  1  1  1  0  1  1  1  1  0  1  1  1  1  0  0  1  1  1  0  1  1  1  0  1  1  1  1  1  1  1  0  0  1  0  1  0  1  0  1  0  1  0  1  0  1  1  0  1  1  1  1  1  1  1  1  0  0  1  1  1  1,0
10,150,475,789,616.0,618.1733333333333,50.08243160585911,1  0  1  1  1  1  1  1  0  0  1  1  1  1  1  1  1  1  0  1  1  1  0  1  1  1  1  1  0  0  1  1  1  1  0  1  1  1  1  1  1  0  1  1  1  1  1  1  1  0  0  1  1  0  0  1  0  1  0  1  1  0  0  1  1  1  0  1  1  1  1  0  0  1  1  0,0
11,150,496,760,614.0,620.72,57.82918755553577,0  1  1  1  1  1  1  1  0  0  1  1  1  1  0  0  1  0  1  1  1  0  1  0  1  1  1  1  0  0  1  1  1  1  1  0  1  1  1  1  1  1  1  1  1  0  0  1  0  1  0  0  0  0  0  1  1  1  0  1  1  0  0  1  1  0  1  1  1  1  0  0  1  1  0  1,0
12,150,464,757,625.0,619.7066666666667,62.87686873741585,0  1  1  0  1  1  1  1  1  0  1  1  0  1  0  1  0  1  0  1  1  0  0  0  1  0  1  1  1  1  0  1  1  0  1  0  1  1  0  1  1  0  0  1  1  0  1  1  0  1  0  0  0  1  1  1  1  1  1  0  1  1  0  1  0  1  1  1  1  1  0  0  1  1  0  1,0
13,150,481,758,637.5,633.5933333333334,57.31876908037095,0  1  1  0  1  1  1  1  0  0  0  0  1  1  1  1  1  1  1  1  1  0  0  1  1  1  1  1  0  0  1  1  1  1  1  1  0  1  0  1  1  0  1  1  1  0  1  1  0  1  0  0  0  1  1  1  1  1  0  0  0  0  0  1  0  1  1  1  1  1  1  1  1  1  1  1,0
