generation,population_length,worst_fit,best_fit,median_fit,average_fit,std_fit,best_fit_candidate_hash,best_fit_candidate_i
0,150,68.23488293028063,6.193118241508155,39.024393763165236,38.81427354870898,12.351788092411846,1.1349874009925687  0.9432546293823316,0
1,150,66.76253452754759,2.273336278752218,30.750689108106506,31.06947885459805,12.755798094834086,0.9939704150880653  0.08113789066135713,0
2,150,51.23906340449135,1.841371319640178,21.437031256248915,22.92250498691168,10.865323620860634,-0.0535307188960914  0.08113789066135713,0
3,150,39.97758650712717,2.058447321547714,14.62925856368426,16.38751815105027,8.304426698983079,0.9939704150880653  -0.9763728072666273,0
4,150,29.865562198385735,1.6264823624356737,9.732997577060022,10.553326618100497,5.623089628036329,-0.0535307188960914  -0.9763728072666273,0
5,150,23.89220543695781,1.841371319640178,6.9471842174336,7.361674840776431,4.092704947269869,-0.0535307188960914  0.08113789066135713,1
6,150,15.50370783114845,1.6264823624356737,4.777847209378161,5.087343692775734,2.797199110418382,-0.0535307188960914  -0.9763728072666273,0
7,150,10.754470296325941,1.6227584679470635,3.3386724059642026,3.60089004595873,1.6024763647874087,-0.0535307188960914  -0.07373505346945652,0
8,150,7.891986448873311,1.6264823624356737,2.273336278752218,2.7827205634213015,0.9446830028946889,-0.0535307188960914  -0.9763728072666273,4
9,150,3.712511082166177,1.6227584679470635,2.273336278752218,2.3716230102282934,0.5350197934074846,-0.0535307188960914  -0.07373505346945652,0
10,150,3.419396111201027,1.6227584679470635,2.058447321547714,2.0960345072719067,0.3634027453242619,-0.0535307188960914  -0.07373505346945652,0
11,150,2.273336278752218,1.6227584679470635,1.841371319640178,1.9036927717746834,0.24329888256337187,-0.0535307188960914  -0.07373505346945652,3
12,150,2.273336278752218,1.6227584679470635,1.6264823624356737,1.7567907958815359,0.19463032537219105,-0.0535307188960914  -0.07373505346945652,16
13,150,2.058447321547714,1.6227584679470635,1.6264823624356737,1.6661216980789526,0.10074186668711577,-0.0535307188960914  -0.07373505346945652,19
14,150,1.841371319640178,1.6227584679470635,1.6264823624356737,1.6313686518770418,0.03479455640408435,-0.0535307188960914  -0.07373505346945652,33
15,150,1.6264823624356737,1.6227584679470635,1.6264823624356737,1.6250176306034867,0.001819084235804096,-0.0535307188960914  -0.07373505346945652,58
16,150,1.6264823624356737,1.6227584679470635,1.6227584679470635,1.624099069962963,0.001787469354532902,-0.0535307188960914  -0.07373505346945652,95
