generation,i,fitness,hash,mom_hash,dad_hash,values
0,0,0.0017805847587354028,-3691876937689384153,0,0,0.025149755363710113  0.03388324901600992
0,1,0.3023021787280761,-8085052814770511916,0,0,-0.04504373895403102  -0.5479719338698992
0,2,0.33818358867313425,-1029607325596743518,0,0,0.40436310011591825  0.41794027317043536
0,3,0.3741139207272783,9059679585469601150,0,0,-0.007437937959986485  0.6116033010098798
0,4,0.5631766313726392,-3817098181959310090,0,0,0.1382584397412412  0.7376050672364967
0,5,0.7493215015454199,-948780185254039269,0,0,0.8587305299796721  0.1091026050387951
0,6,1.1787325656803294,425185013021573760,0,0,-1.078106009612342  0.1281405389331658
0,7,2.1470685038007504,2538905373536952147,0,0,0.67403425214831  1.3010558522721531
0,8,2.2120320208112045,-4588816218979617522,0,0,-0.309181000674589  1.454798656045937
0,9,2.435353475798384,5907059722987010303,0,0,-1.525995574279301  -0.326635857000376
0,10,3.161061494396271,-6473302758694399275,0,0,-0.5472177271271619  -1.6916306492594813
0,11,3.1664455791661226,-1059947629194296446,0,0,1.7434723687063762  -0.35601921117195356
0,12,3.2014206780164214,7939389011526491141,0,0,0.6457349966244781  -1.6686662315007177
0,13,3.4273770549794076,-8556391767288456801,0,0,0.7336153708869064  1.699760436819811
0,14,3.6381200256500095,5800119112844216238,0,0,-1.6752155520266059  -0.9120158331400852
0,15,3.9500161897652033,6785208739335381262,0,0,0.8259778217291736  1.8076993189622916
0,16,4.894853435383954,-7499546091667358400,0,0,-1.7193838714009657  1.3923263044811662
0,17,4.92537648849299,-4654557859367743719,0,0,0.9122756838419717  2.023148428851342
0,18,5.416751099969118,-2830479726809551404,0,0,-0.0604017802474095  -2.32660755713379
0,19,5.565213691688746,2427007717748430364,0,0,-0.3214095235803516  2.33707287217164
0,20,5.856903286987252,4248768422976041429,0,0,-2.4090401857359134  0.2311464265281371
0,21,5.954768000306377,6433905666620329538,0,0,0.08330966049819022  2.4388168239484598
0,22,5.993967677256964,-167285993164876580,0,0,2.44535351885081  -0.11922183147781329
0,23,6.0610795218734435,1395488205846315535,0,0,1.8386252516757438  -1.6372344687837939
0,24,6.12993488518772,-3959887533119261808,0,0,-2.4341350519102263  0.452682487235502
0,25,6.175739207348764,-3710729135064587094,0,0,-2.310579475367364  -0.9148561063685596
0,26,6.599184540222813,-5561415196032459635,0,0,-0.8559561313368924  2.422090758301512
0,27,6.644058683624893,3855060596380546487,0,0,-2.188849467619158  -1.3612482109182817
0,28,7.0458373590365415,-2981222552443719405,0,0,0.8746329330162572  -2.506163320998837
0,29,7.580613915245289,-2254032039477360492,0,0,-2.2281237483690393  1.6174295895646251
0,30,8.042411314115476,-6150837655900507803,0,0,-2.685261621462314  -0.912020470393653
0,31,9.046106979712192,4020141083251070963,0,0,-1.4963100509319678  2.609054083608112
0,32,9.414646022144042,-534497599795395590,0,0,0.14117560549710095  3.065080010465725
0,33,9.589350691585722,4263094855162599870,0,0,-0.9176066937374152  2.9575916971742418
0,34,9.68997340197097,-6797446631557013493,0,0,-0.8372218830799474  2.9981715962337843
0,35,9.82985278480828,9211427615031539233,0,0,1.9148121465336878  2.4826089559766213
0,36,9.84485291675955,7329905210787408440,0,0,2.1970317280937026  2.2400679682788978
0,37,10.08770983921291,-2802177080456988475,0,0,3.175731376433226  0.0493970034560558
0,38,10.238732621191867,1328962678956909333,0,0,0.38197708039395106  -3.17692085693767
0,39,10.277151969733094,7376084941601748471,0,0,2.3941198355707085  -2.131980811982129
0,40,10.329796007557517,5843862507974177010,0,0,-2.929569916171273  -1.3218986775928623
0,41,10.398554582792588,-4727866293950991392,0,0,1.1075106803583719  -3.0285268160748924
0,42,10.504704648760896,2449503969821586019,0,0,-1.9980306808906265  -2.55197532256498
0,43,10.810716389455786,-6285948914558208726,0,0,-1.571503195127557  -2.8880952368576187
0,44,10.854851337119163,3541724449181476889,0,0,3.171044143956432  0.8940527804323315
0,45,11.222317496173833,1503535278254685878,0,0,-2.402995487472408  -2.3340801578697072
0,46,11.248172055912802,-4514565852020612282,0,0,3.3438072861567703  -0.2590847138634338
0,47,11.269869126902686,-3440026277686646788,0,0,-2.129377371390468  -2.5953075226479245
0,48,11.837805234958585,6027194546526627859,0,0,-2.468043595600735  2.397199625640881
0,49,11.94595447804782,2286440627105452758,0,0,-1.9715099006301329  -2.83885596495581
0,50,12.015994536358539,6578933635148272083,0,0,1.1544679502738164  3.268516221184945
0,51,12.16476597723389,-7027678255496162832,0,0,-0.30200905544089807  -3.474702362457191
0,52,12.177139320298192,3291399106967875893,0,0,-1.7214323514972376  3.035425831661331
0,53,12.28335506484018,6047759813414505425,0,0,2.0248393468524997  2.860660882432261
0,54,12.335760878842631,-6270092543645673883,0,0,2.1700686308651917  -2.7616232574660695
0,55,12.432940958637479,-6820018084421085569,0,0,-3.4963539227496714  0.4565634736928317
0,56,12.89803532980557,-4163533302488460133,0,0,-2.434997736795349  -2.639852524594338
0,57,12.95224489288024,-9032322331462616421,0,0,-1.945150696720865  -3.027975174919136
0,58,13.174107933338288,2971976190583228804,0,0,2.921466113749653  2.1538671452879328
0,59,13.266249845285364,6066049239938532143,0,0,-3.493254873236408  1.0312226897695043
0,60,13.437173033032726,1203420977606844464,0,0,0.6331107525744448  3.610587737198384
0,61,13.78594124664207,-7646386752204601723,0,0,0.6464416747088944  3.656235004460412
0,62,13.801912831607499,-6627890899902984194,0,0,2.7914379422708597  -2.4514867011791286
0,63,13.904043690671228,-8508543768030297766,0,0,-0.5266339495175769  -3.691436085575199
0,64,14.503702669792776,1946453545158636682,0,0,-3.79395569245509  -0.33106324694896827
0,65,14.597712119567074,-567501780602010509,0,0,-3.7886940508144242  0.4934668265349389
0,66,14.744685598086127,-3280621677289978162,0,0,2.5263680825826684  2.8917382159168037
0,67,14.984024631186449,3417450199885193677,0,0,1.2928516822237475  3.6486379868325765
0,68,15.174619260247415,6284946898434382274,0,0,-2.184725422801164  -3.2251502425799776
0,69,15.358986944475207,-5339393743380426927,0,0,2.4497906057639423  3.05900521941136
0,70,15.364968905515777,-7671179189391390965,0,0,-2.873364124556246  -2.666223455231931
0,71,15.528090051853745,-7123931772825282422,0,0,2.2854968051194646  3.2100770093009396
0,72,15.603103354094241,-2548415131036034542,0,0,-0.9401039098288129  3.8365750341702975
0,73,16.07243103710109,3508675147667867308,0,0,1.0819697863917108  3.8602813910952873
0,74,16.49410766673105,-4026045261773457247,0,0,-3.8729555599641348  1.2224250068098028
0,75,16.554539939020355,-7449218638107276616,0,0,0.9703868740368611  3.951314876559109
0,76,16.751496611527397,2086026557683086161,0,0,4.030049316099224  0.7142822420693191
0,77,16.81874968354628,5716546053413359364,0,0,2.29694584580953  -3.3974680962394075
0,78,17.236471025169568,6406618679964675594,0,0,4.1515608067801635  -0.031841683002096666
0,79,17.70129665125861,-1983100963242800220,0,0,-2.842244974407955  3.1020864199295497
0,80,17.908410317970812,1682517369527455586,0,0,-4.104011417343858  -1.032230887099427
0,81,18.376341366328926,7697751419853878509,0,0,3.4732291374467836  2.512572531315185
0,82,18.543409350042502,2404865408790949202,0,0,1.3730652834100132  -4.081433703680201
0,83,18.711439002291435,2522168471283126844,0,0,2.9004960753484257  -3.209137192327529
0,84,20.51803652434489,-2676058161387803209,0,0,1.407298676207433  4.305525166607402
0,85,20.617394875909866,6138261608081336859,0,0,-3.0951968278875657  3.3222208645038362
0,86,20.627496936075932,9021255207135699290,0,0,3.907633047223894  2.3147140005451297
0,87,20.861824368432664,5299085715591477818,0,0,-3.5382161351400305  -2.888399374994291
0,88,21.31698725623838,-4748280832537425616,0,0,-2.235643613636529  -4.039663957440592
0,89,21.46079248455716,3989846435348123139,0,0,-2.7757253376154485  -3.708927248501481
0,90,21.527046816027898,2911156733353959473,0,0,-3.7800868761138506  -2.690351282836449
0,91,21.554821226145602,4365224651296297021,0,0,-4.166798071085126  -2.047587619846065
0,92,21.81715319801639,124930971910759095,0,0,-4.409618613872105  1.540265197363441
0,93,21.968887835615188,6926178829102204864,0,0,0.18476416855143363  4.683454925333934
0,94,22.542027840264815,5885575020415198717,0,0,-3.8004308354939407  -2.8458308637182994
0,95,22.59622385875741,-8607187003088997545,0,0,0.5266181470291231  4.724288008364543
0,96,22.69224683663636,3228507836303022285,0,0,-0.520161496026315  -4.735153519653616
0,97,23.20913390418256,-8337650036087724944,0,0,4.5495270629741205  1.584593767326072
0,98,23.658181158617346,-5259138872680591041,0,0,4.808902807575396  0.7298184335235876
0,99,23.701819024194375,-7261034445796796483,0,0,-0.47578947788178283  4.845146375181183
0,100,24.025903494286972,1448990494503297975,0,0,-3.7518846531192946  3.1542455586042886
0,101,24.157134552437345,-5373725527235161155,0,0,4.414209971081701  -2.1614543445653056
0,102,24.195360239579195,2620597311382578999,0,0,4.655274177648022  1.5886417376182491
0,103,24.24972249834703,8908596633682618456,0,0,-4.831371241873906  -0.952667004540845
0,104,24.261221431815706,1776620997261306911,0,0,2.035488481987568  -4.485310253651541
0,105,24.35920270626427,1861259138171138920,0,0,-3.2224226074540274  3.7383412424808755
0,106,24.472890248215602,-3883135979096630157,0,0,0.5077375012744723  -4.920883343264211
0,107,24.953715303682987,-5492430877218344038,0,0,1.6647546425650637  -4.709809686573445
0,108,24.96340572193672,-1357230696448146966,0,0,3.732270332879744  3.321680882360984
0,109,24.99161661002423,5988381761302969593,0,0,4.564003835081977  -2.0399719614203606
0,110,25.156619947332697,2261721521825917709,0,0,4.447493057093049  2.318712024905599
0,111,25.274702161843237,-5338019620656166679,0,0,-3.3882745368670193  3.7140675579022284
0,112,25.28358469905085,-3399431285201976722,0,0,-0.930995034496024  -4.941339185362061
0,113,25.81862639798704,-8749212268092510957,0,0,-4.960504084156396  1.1009203554548144
0,114,25.85576009507148,413551315231394514,0,0,-4.116337966203292  -2.9852172187405097
0,115,25.975115151804008,7119466343737272293,0,0,-5.029951267008471  0.8214045308639877
0,116,26.018229552198974,-3693645947851102728,0,0,-1.5267036503877467  4.866970876848526
0,117,26.47413746153153,-2992685332023721149,0,0,-0.8992405249669462  -5.066113297172567
0,118,26.624122368591983,6766976213376454141,0,0,-3.4747184854729882  3.8145057104825897
0,119,27.181921751504888,5771262503633285427,0,0,-3.7472586938355628  -3.6249102103333097
0,120,27.4646454116844,316978086062684101,0,0,-1.8688493325594688  4.8961257728817005
0,121,27.853297470998186,8350957219703272388,0,0,3.785271064266781  3.6776378887844325
0,122,28.083483296274274,6340585353987239558,0,0,-2.812023977245341  4.491770747452676
0,123,28.175148883045075,-6838569536528354525,0,0,-3.2342720712432094  -4.208875509232987
0,124,28.909780912722464,-1051189792917066,0,0,1.9343906046127213  5.01676328936382
0,125,28.94426449225969,3729242044098003164,0,0,-4.424962900501529  3.0600601009530495
0,126,28.966847803820954,1990131989808684795,0,0,-4.457832984767623  -3.0157209558808225
0,127,29.8679187896468,1554312643410952011,0,0,5.0172980452140346  -2.1667115902072043
0,128,29.88427522388564,1948414483791775870,0,0,-2.642071112611286  -4.7857847276899745
0,129,30.6482597561142,-7442536910646333456,0,0,-2.9681112365512217  -4.67317616226615
0,130,31.126985463593677,5929744459300241234,0,0,3.2084582065500067  -4.564294184254077
0,131,31.13181659729465,-6355649644212575725,0,0,4.578836509864671  -3.188427953274932
0,132,31.42330480704264,4226135262629987741,0,0,4.277330475449586  3.62322353862315
0,133,31.435074151184594,7277958582055346664,0,0,-3.2107219066851034  -4.596339738217462
0,134,32.28294953944052,-8016958269436360580,0,0,-3.408352816865851  4.545996108137703
0,135,32.60780711678921,-5550670904829632873,0,0,-4.393526870925695  -3.6475647699860088
0,136,35.46834733470971,-6104495915633994837,0,0,-4.041309259696974  -4.374490462007799
0,137,35.70625821659018,-7053831492753372247,0,0,3.5612220557602567  -4.798328426249799
0,138,36.547615369847506,-4523598904750066758,0,0,3.9441967715538686  -4.581585664059065
0,139,36.61230266877492,7496298162074882800,0,0,5.11220614295078  3.236919989859378
0,140,38.58834585480609,3204613321346797672,0,0,4.709674389839461  4.050594153515802
0,141,39.161034298835375,8656134377098579774,0,0,5.022539867988374  3.7329783783599266
0,142,39.418485796870925,7341633388836745500,0,0,-4.85308145027445  3.983225606700299
0,143,39.792637477979135,-9036664777382405883,0,0,-5.081467553233323  -3.737823562371033
0,144,40.05904902520824,4982048487777572434,0,0,4.5913850397613905  4.356401317815375
