generation,population_length,worst_fit,best_fit,median_fit,average_fit,std_fit,best_fit_candidate_hash,best_fit_candidate_i
0,150,43.77183612934305,0.0017805847587354028,16.524323802875703,18.127955232261993,10.998456282439786,0.025149755363710113  0.03388324901600992,0
1,150,45.99804490815149,0.09235754413218439,11.64004624067285,13.399352519692613,9.072291877880629,-0.30200905544089807  0.03388324901600992,0
2,150,39.09438919901522,0.1303980537805564,7.875235539431419,8.82516202993804,7.003732677597873,-0.0604017802474095  -0.35601921117195356,0
3,150,20.44771495281818,0.0603691700290512,4.260934089894378,4.778320229440038,4.045689870524494,0.08330966049819022  0.2311464265281371,0
4,150,11.867802740298597,0.05348399341782409,2.131781478177456,2.8593804484654157,2.570490140265061,-0.007437937959986485  0.2311464265281371,0
5,150,8.870683466046362,0.05545760891568637,0.7993856971198793,1.3032463530671954,1.5251922004238923,-0.04504373895403102  0.2311464265281371,0
6,150,2.980395012146178,0.01786222015798046,0.3347189784587669,0.4715898726356164,0.4506102806304434,-0.0604017802474095  -0.11922183147781329,1
7,150,1.5899157884520867,0.01786222015798046,0.24356483181156008,0.25536500851245736,0.20644035762026836,-0.0604017802474095  -0.11922183147781329,5
8,150,0.4070190256258196,0.01426916802202072,0.1303980537805564,0.16204382960800218,0.0889626842652003,-0.007437937959986485  -0.11922183147781329,0
9,150,0.33910240006860365,0.01426916802202072,0.11033935813542642,0.10977458581277404,0.06065499815422541,-0.007437937959986485  -0.11922183147781329,1
10,150,0.1303980537805564,0.01426916802202072,0.05707704555378383,0.07740187847511985,0.039202274546915175,-0.007437937959986485  -0.11922183147781329,2
11,150,0.1336901782558238,0.01426916802202072,0.05707704555378383,0.053241557436175174,0.03142077527404787,-0.007437937959986485  -0.11922183147781329,4
12,150,0.11033935813542642,0.01426916802202072,0.01786222015798046,0.0370708720997111,0.023388217246492374,-0.007437937959986485  -0.11922183147781329,11
13,150,0.05707704555378383,0.01426916802202072,0.01786222015798046,0.02368853681237315,0.015303064544407026,-0.007437937959986485  -0.11922183147781329,25
14,150,0.05707704555378383,0.01426916802202072,0.014846355295778577,0.018721677402203596,0.010237370421540644,-0.007437937959986485  -0.11922183147781329,44
15,150,0.01786222015798046,0.01426916802202072,0.01426916802202072,0.015112668953240368,0.00128739646485926,-0.007437937959986485  -0.11922183147781329,79
16,150,0.01786222015798046,0.01426916802202072,0.01426916802202072,0.014520146447189741,0.0006258707976185813,-0.007437937959986485  -0.11922183147781329,116
