generation,population_length,worst_fit,best_fit,median_fit,average_fit,std_fit,best_fit_candidate_hash,best_fit_candidate_i
0,150,0.00030398286593465255,0.0005324571804972138,0.00037027640788758715,0.0003785165148951751,4.659899324910173e-05,4  1  0  2  6  7  3  9  8  5,0
1,150,0.0003105442914462791,0.0005413353204028292,0.00039928377361038913,0.0004035186261579487,4.722361009248195e-05,0  1  6  2  9  3  4  7  5  1,0
2,150,0.00032856127044256765,0.0005839022916940348,0.0004297980923567643,0.0004319502463500999,5.421670121625038e-05,3  7  4  5  0  2  6  9  9  9,1
3,150,0.0003279433820806705,0.0006288636285683885,0.0004492958104382219,0.00045774718957497756,6.402891419465035e-05,5  1  2  6  7  3  3  0  0  1,0
4,150,0.00034091493787207264,0.0006893491355526195,0.00048242372216673033,0.0004829793624905149,6.739431435656003e-05,7  5  4  4  4  6  7  3  9  8,0
5,150,0.0003288673353064809,0.00075513830213703,0.0004972465603379109,0.0005063652507046565,7.728083239385681e-05,7  5  4  4  4  6  7  3  9  5,0
6,150,0.0003697800638887956,0.0008116997690998504,0.0005198761739420633,0.000538766398674896,8.919239281197472e-05,0  7  7  6  7  4  0  0  1  1,0
7,150,0.0003720463031895834,0.0011887219168690987,0.0005547736294137593,0.0005700080511658644,0.00010949955990509613,0  7  7  5  7  4  0  0  1  1,0
8,150,0.00041171656344638787,0.001185034114897295,0.0005948242927329333,0.0006054215890588947,0.00011145638748562126,0  1  7  5  7  4  0  0  1  1,0
9,150,0.00039335804644663496,0.0014473826383428908,0.0006052322385564695,0.0006173390677542529,0.00013773740502583665,0  1  7  5  7  1  0  0  1  1,0
10,150,0.000365762240559982,0.001405012466687923,0.0006308687005638408,0.000646189937038171,0.0001337319002903748,0  5  7  5  7  1  0  0  1  1,0
11,150,0.0004062795918447558,0.0013641076362606616,0.0006511375784634254,0.0006706496333749439,0.0001471955181551095,0  5  7  5  7  5  1  0  1  1,0
12,150,0.0004408074901114536,0.0013641076362606616,0.0006726485910358175,0.000706572427164989,0.00016123640971013375,0  5  7  5  7  5  1  0  1  1,0
13,150,0.00044290331551760984,0.0014182287834565309,0.0007513294860054706,0.0007736796224114194,0.00019464342382944104,1  5  7  7  7  1  7  7  5  1,0
14,150,0.00046182056738900085,0.0015335736349600842,0.0008116885855632551,0.0008392479983676156,0.00019430390784037693,0  1  1  1  7  5  0  0  1  1,0
15,150,0.0005081425098815619,0.0016092956528083785,0.0008831016659727074,0.0009197734792311017,0.00021931760288875675,0  5  7  5  7  5  5  7  1  1,0
16,150,0.0006091724797525357,0.0016651272368438887,0.0009856780374998728,0.00102374602927995,0.00023396748616044685,0  1  7  5  7  5  5  7  1  1,0
