num_generations,population_length,worst_fit,best_fit,median_fit,average_fit,std_fit,best_fit_candidate_hash
0,150,0.0002952407977227683,0.0005415357918912701,0.00035803725651497193,0.00037065681765661047,4.286163731497654e-05,-1206704479692906044
1,150,0.00029941749122172325,0.0005687619489122086,0.00039198574622040943,0.00040025521831764507,5.377454341111767e-05,9007842883267496820
2,150,0.0002887629340479338,0.0006200459429387334,0.00042051822668986094,0.0004266287382307469,5.615822883564487e-05,-7203543658443972441
3,150,0.00033038088856244754,0.0006637490905415093,0.0004474164819519713,0.000455060098305875,5.963908923825713e-05,-8059200470036055811
4,150,0.0003227108157786597,0.0007136625319066872,0.0004566184844784203,0.00046836379010430605,6.543677413179545e-05,-1226133669319835792
5,150,0.00033534090354085503,0.0007576271933470358,0.0004838414396526491,0.0004925908052438405,7.532916152629449e-05,5292450929907638712
6,150,0.0003379462115603225,0.0007505528524195005,0.0004932645981257356,0.0005065961875017426,6.829206298653041e-05,-4565409257170709596
7,150,0.00033557909491487145,0.0009631080512032871,0.0005226049672108636,0.0005331298268417238,8.764695411664181e-05,-7125020321537779955
8,150,0.00032834415091191084,0.0009631080512032871,0.0005510798865660555,0.000558709397410886,0.00010487631409995686,-7125020321537779955
9,150,0.000378618133410574,0.0010216530249510837,0.0005678092340230442,0.0005901665474418416,0.0001183311604356523,4836346387080346106
10,150,0.0003797702757183645,0.0010216530249510837,0.000608784316444001,0.0006274065337654,0.00012292646921680198,4836346387080346106
11,150,0.0004280684154294554,0.0010216530249510837,0.000636968752648839,0.0006589270633168673,0.00012285680192809879,4836346387080346106
12,150,0.0004525255013921626,0.0011809859519394958,0.0006826044128888676,0.0006890155680636987,0.00013966981850210014,8091113224188802645
13,150,0.0004557115318396759,0.0017680623303137544,0.0006993559115698566,0.0007188599252872343,0.00015467713013826167,945295479849865244
14,150,0.00044843494771834466,0.0017680623303137544,0.0007317367617282978,0.0007608566595171031,0.0001919644391046222,1094008678152298613
15,150,0.0004714975123193256,0.0017680623303137544,0.000748850836914172,0.000797189798632872,0.0002265737029985102,945295479849865244
16,150,0.0004781217849294397,0.0017680623303137544,0.0008063721231564786,0.0008707043297151871,0.00027108578731438725,945295479849865244
